gene,mean_abs_shap,mean_shap,direction,rank
MTRNR2L12,0.44857203809684054,-0.027538464378404452,DOWN,1
TAOK1,0.3444525091837757,0.03547065803481158,UP,2
RGS2,0.31723614983241805,-0.003699472992147279,DOWN,3
S100A12,0.22189949025000458,0.01146125164863403,UP,4
COL3A1,0.19476612946449356,0.0031119611396332996,UP,5
CTSL,0.19257135106280127,0.01918284224220638,UP,6
CCL18,0.19109485653461256,0.022255542633314918,UP,7
HLA-DRB5,0.17301166296043072,0.007537550452386704,UP,8
FBLN1,0.16565410044431642,0.0024194437712051404,UP,9
DCN,0.1644093963113294,0.004778255746280091,UP,10
FRA10AC1,0.16199211322977036,0.007383105305120157,UP,11
OSM,0.1581462460572686,0.002661980705947023,UP,12
PLTP,0.1492139595903954,-0.0052943928047476975,DOWN,13
HSPA1B,0.13316498161566379,0.011231445872593995,UP,14
FOLR3,0.13151267399015873,-0.005524800031967118,DOWN,15
HBB,0.12496929518376768,-0.0034763527671656034,DOWN,16
IFITM2,0.12390102452758234,0.007923582884245989,UP,17
APOC1,0.1221671230624111,-0.003524854809927165,DOWN,18
IL1RN,0.1214767072746309,-0.005209723739357674,DOWN,19
PLEK,0.11700278410155357,-0.008706845447542244,DOWN,20
SPARC,0.1156894503554867,0.00042718149748606705,UP,21
MARCO,0.11484357283046605,0.022105397570280162,UP,22
LIPA,0.11443306905662518,-0.01330800064803828,DOWN,23
LPL,0.11428577045398983,0.014497648247889966,UP,24
HMOX1,0.11366911532862499,0.005764026944768143,UP,25
SCGB1A1,0.10574551412086214,-0.007072363312340334,DOWN,26
COL14A1,0.1040424893763806,0.001319849045041454,UP,27
GNLY,0.10288211818507333,0.012259993374224669,UP,28
GEM,0.1026831641263407,-0.002306765278863771,DOWN,29
COL1A2,0.09965398890036849,-0.01301452277800932,DOWN,30
HCAR3,0.09660062493520388,-0.001847444382926072,DOWN,31
IGKC,0.09656114591006856,0.003966993069826174,UP,32
MMP19,0.09588209471080311,0.004530216834268027,UP,33
STEAP4,0.09508070536986034,-0.0003249389911109563,DOWN,34
ARL5B,0.09390236061375237,-0.006449478429058351,DOWN,35
CD300E,0.08981667254363035,0.0007554956039589778,UP,36
ERRFI1,0.0898154396373652,0.006429258393355924,UP,37
LGMN,0.08780483508516088,-0.004545040531524097,DOWN,38
PROK2,0.08773423508595642,0.004582324231376064,UP,39
TNFAIP3,0.08756145222360315,0.001322679345879116,UP,40
CXCR4,0.08699096616474186,0.008668755580801088,UP,41
GPNMB,0.08679586245205623,-0.0040514414398568595,DOWN,42
FCGR3B,0.08617541245186394,0.0012142789715322627,UP,43
PTGS2,0.08559480741898881,-0.003433880552582989,DOWN,44
XAF1,0.08533483064189719,0.0008223811214029852,UP,45
VCAN,0.08472248795620331,-0.006713849793774517,DOWN,46
CCL4,0.08426903353296603,-0.0020167019740106344,DOWN,47
FILIP1L,0.08190681756582265,-0.009393393691658078,DOWN,48
ARID5B,0.08104508708319531,0.0021375917513640963,UP,49
AKAP12,0.07957188703995205,0.001853512135215895,UP,50
TMEM154,0.07913753690142206,0.0031214473347565973,UP,51
C3,0.07859769075682761,-0.003855139697327656,DOWN,52
EGR1,0.07759489446506657,-0.016731076038672712,DOWN,53
CCDC80,0.07399202372119569,0.012273991957877128,UP,54
CCL20,0.07392001359335422,-0.002805300920749576,DOWN,55
IL1R1,0.07376767854977363,0.0012499064766957324,UP,56
SPP1,0.06997088611234349,-0.0008078493614804916,DOWN,57
IGHA1,0.06969192714552146,0.0010236107111222972,UP,58
FUCA1,0.068229249439107,0.004978560476821522,UP,59
DNAJA4,0.06787647641610443,0.00957810781960827,UP,60
CTB-61M7.2,0.06783368635233417,-0.0010554277598645448,DOWN,61
MEDAG,0.06777390512060429,-0.005207596824108573,DOWN,62
HSPD1,0.06645426831196427,-1.5690935195258524e-05,DOWN,63
IGHG1,0.06635878845772156,0.006973826771655137,UP,64
