Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
adenosine triphosphate 5957 human GSE30903 sample 3220,adenosine triphosphate 5957 human GSE30903 sample 3220,1.3388533041146419e-11,5.278002512935513e-14,1066.3932710305698,12/246,SOCS2;HCAR3;EGR1;IL1RN;RGS2;VCAN;TNFAIP6;CCL20;SPP1;PPIF;TIMP1;PTGS2,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
monensin HL60 UP,monensin HL60 UP,5.179612501902098e-07,5.808911217086465e-09,1046.1005475342995,6/29,HCAR3;IL1RN;RGS2;GPNMB;SPP1;TNFAIP3,Fallback_DSigDB,Combined signature vs DSigDB
tracazolate HL60 DOWN,tracazolate HL60 DOWN,4.7342192798388604e-06,8.849007999698806e-08,944.1261501106982,5/23,EGR1;HCAR3;RGS2;CCL4;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
cephaeline-2429,cephaeline,1.3162227526918e-10,9.039991433322802e-14,922.0725763713172,12/100,IL1RN;RGS2;CCL20;HIST1H1D;OSM;ARID5B;TNFAIP3;HIVEP2;PTGS2;FILIP1L;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
prochlorperazine-2675,prochlorperazine,1.3162227526918e-10,9.039991433322802e-14,922.0725763713172,12/100,RGS2;VCAN;TNFAIP6;BAG3;GNLY;CCL20;CCL4;SPP1;ARID5B;HIVEP2;INHBA;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
anisomycin-1304,anisomycin,1.3162227526918e-10,9.039991433322802e-14,922.0725763713172,12/100,EGR1;TNFAIP6;CCL20;CCL4;PPIF;OSM;ARID5B;INHBA;PTGS2;FILIP1L;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
propofol DB00818 human GSE4386 sample 2804,propofol DB00818 human GSE4386 sample 2804,1.3388533041146419e-11,4.6898071024264163e-14,903.1757881620237,13/323,EGR1;TNFAIP6;PTGS2;NEAT1;GEM;TM4SF1;MEDAG;RGS2;ARL5B;COL1A2;BAG3;COL6A3;FILIP1L,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
isotretinoin PC3 UP,isotretinoin PC3 UP,5.811161753730202e-06,1.1133534201071885e-07,881.7426765760633,5/24,C3;SPARC;IGKC;APOC1;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
MAGNESIUM CTD 00006230,MAGNESIUM CTD 00006230,6.898731355273365e-06,1.386193683536237e-07,826.1465691073544,5/25,MARCO;SPARC;COL1A2;TNFAIP6;SPP1,Fallback_DSigDB,Combined signature vs DSigDB
soman 7305 rat GSE13428 sample 2632,soman 7305 rat GSE13428 sample 2632,9.79239753434769e-12,1.28678022790377e-14,780.4417289100054,15/476,EGR1;STEAP4;TNFAIP6;CCL20;PLEK;PTGS2;MMP9;GEM;C3;RGS2;GPNMB;BAG3;CCL4;SPP1;TIMP1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
digoxin-2423,digoxin,2.9730830335132076e-09,2.7226035105432305e-12,732.6237298678811,11/100,EGR1;RGS2;TNFAIP6;CCL20;CCL4;HIST1H1D;ARID5B;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
heme TTD 00008407,heme TTD 00008407,0.000368403773495601,2.5822694403897266e-05,722.1087027443646,3/12,HBB;HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
gossypol HL60 UP,gossypol HL60 UP,1.4606928397087082e-08,8.873367717856637e-11,720.7769784417769,9/72,EGR1;TNFAIP6;CCL20;CCL4;TNFAIP3;HIVEP2;FILIP1L;XAF1;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
terfenadine HL60 UP,terfenadine HL60 UP,7.212887052086201e-08,6.066914342876244e-10,704.404882726866,8/60,IL1RN;RGS2;TNFAIP6;GPNMB;CCL4;SPP1;INHBA;XAF1,Fallback_DSigDB,Combined signature vs DSigDB
letrozole 3902 human GSE5462 sample 3097,letrozole 3902 human GSE5462 sample 3097,1.2268390518522404e-09,6.448562690419135e-12,699.4687135821596,11/277,C3;COL1A2;GPNMB;APOC1;SPP1;HBB;COL6A3;LIPA;MMP9;FBP1;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
beta-escin PC3 UP,beta,2.2333839040177937e-08,1.4610922736565005e-10,663.0083738675463,9/76,EGR1;CCL20;HIST1H1D;TNFAIP3;HMOX1;INHBA;NEAT1;PTGS2;GEM,Fallback_DSigDB,Combined signature vs DSigDB
IVERMECTIN CTD 00006182,IVERMECTIN CTD 00006182,2.635770560858928e-06,4.4903301250513384e-08,630.9911964369484,6/40,BAG3;CTSL;IL1R1;PPIF;GEM;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
thioridazine-2690,thioridazine,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,TNFAIP6;IL1R1;EPAS1;GNLY;CCL20;CCL4;SPP1;ARID5B;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
beta-escin-4544,beta,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;CCL20;HIST1H1D;HMOX1;HBB;TNFAIP3;INHBA;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
lycorine-2195,lycorine,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,TNFAIP6;IL1R1;CCL20;OSM;ARID5B;INHBA;NEAT1;FILIP1L;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
mebendazole-2338,mebendazole,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;IL1RN;RGS2;TNFAIP6;IL1R1;CCL20;TNFAIP3;TIMP1;PTGS2;MMP9,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
strophanthidin-2525,strophanthidin,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;RGS2;TNFAIP6;RNF24;CCL20;CCL4;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
